,churn,account_length,voice_plan,voice_messages,intl_plan,intl_mins,intl_calls,intl_charge,day_calls,eve_calls,night_calls,customer_calls,Total_Charge
132,0,78,0,0,0,9.5,3,2.57,115,140,120,1,70.61
133,0,82,0,0,0,7.1,1,1.92,96,102,60,4,60.42
134,0,163,0,0,0,9.1,10,2.46,109,128,80,1,60.0
135,0,91,0,0,1,11.2,3,3.02,112,83,130,3,47.93
136,0,75,1,21,0,5.3,4,1.43,97,106,134,5,59.06999999999999
137,0,91,0,0,0,12.0,3,3.24,106,113,129,3,61.19
138,0,127,1,36,0,11.2,8,3.02,117,76,71,1,53.77
139,0,113,1,23,0,10.2,5,2.75,101,60,59,2,54.910000000000004
140,0,110,0,0,0,12.4,3,3.35,115,84,112,1,57.449999999999996
141,0,120,1,39,0,10.5,4,2.84,68,97,116,0,64.2
142,0,157,1,28,0,6.8,5,1.84,107,74,139,3,54.3
143,0,103,0,0,0,11.7,4,3.16,47,84,96,1,67.55
144,1,117,0,0,1,14.1,7,3.81,86,87,132,2,54.72
145,0,140,0,0,0,14.3,6,3.86,101,94,98,3,58.0
146,0,127,0,0,0,13.7,3,3.7,91,78,110,1,51.39
147,0,83,0,0,1,11.7,4,3.16,87,126,105,1,70.0
148,0,121,0,0,0,8.5,5,2.3,121,98,103,1,56.69
149,0,145,1,43,0,11.1,4,3.0,97,95,86,2,70.5
150,0,113,0,0,0,10.6,6,2.86,99,125,67,1,59.52
151,0,117,0,0,0,10.1,7,2.73,119,91,105,1,48.51
152,0,65,0,0,0,7.5,6,2.03,116,117,86,1,55.57000000000001
153,0,56,0,0,0,6.9,11,1.86,112,118,142,1,65.86000000000001
154,0,96,0,0,0,11.5,4,3.11,115,46,87,5,68.81
155,0,151,0,0,0,9.8,4,2.65,116,138,101,0,67.17999999999999
156,1,83,0,0,0,15.8,7,4.27,120,116,114,0,83.62
157,0,139,1,23,0,13.7,2,3.7,129,96,112,0,59.45
158,0,6,0,0,0,10.2,2,2.75,117,72,79,1,61.07
160,0,87,0,0,0,7.1,5,1.92,97,108,101,0,44.0
161,0,141,0,0,0,12.0,6,3.24,110,111,103,0,68.85
162,0,141,1,36,0,10.5,5,2.84,99,116,105,3,62.73
163,0,62,0,0,0,12.2,1,3.29,103,122,82,1,38.97
164,0,146,0,0,0,6.1,3,1.65,151,89,91,1,55.22
165,0,92,1,33,0,12.1,2,3.27,92,92,104,2,69.78999999999999
166,0,185,1,31,0,7.5,3,2.03,126,133,126,1,58.07000000000001
167,0,148,0,0,0,10.9,3,2.94,102,128,90,1,66.77000000000001
168,0,94,1,38,0,12.8,4,3.46,124,116,73,1,50.120000000000005
169,0,32,0,0,0,6.3,2,1.7,87,90,53,0,62.11
170,0,68,0,0,0,13.2,2,3.56,105,105,79,1,63.690000000000005
171,0,64,1,27,0,10.6,5,2.86,91,98,86,2,52.790000000000006
172,0,25,0,0,0,10.5,4,2.84,87,101,86,3,50.36000000000001
173,0,65,0,0,0,14.1,2,3.81,87,93,150,1,43.28
174,0,179,0,0,0,6.1,5,1.65,92,125,104,0,60.96999999999999
175,0,94,0,0,0,11.1,7,3.0,104,125,106,2,65.0
176,0,62,0,0,0,12.2,3,3.29,91,107,115,0,49.97
177,0,127,0,0,0,11.5,3,3.11,103,86,113,2,62.64
178,0,116,0,0,0,16.2,10,4.37,93,76,112,3,55.36
179,0,70,0,0,0,0.0,0,0.0,122,112,112,3,73.36
180,0,94,1,23,1,9.5,5,2.57,125,136,103,4,64.44
181,1,126,0,0,0,11.9,1,3.21,94,118,91,5,27.84
182,0,67,1,36,0,9.9,12,2.67,111,94,103,2,47.49999999999999
183,0,19,0,0,0,14.6,7,3.94,98,57,127,2,62.89000000000001
184,0,170,0,0,1,8.4,3,2.27,68,122,121,3,71.05999999999999
185,0,73,0,0,0,10.8,13,2.92,145,135,92,1,70.1
186,0,106,0,0,0,10.2,4,2.75,74,139,103,1,41.38
187,0,93,0,0,0,10.9,3,2.94,71,108,121,2,69.15
188,0,164,0,0,0,9.0,3,2.43,111,126,112,1,49.59
189,0,51,0,0,0,9.1,3,2.46,109,95,107,1,65.84
190,0,107,0,0,0,8.9,4,2.4,85,94,115,0,43.14
191,0,130,0,0,0,9.5,2,2.57,109,104,69,1,48.49
192,0,80,0,0,0,8.8,4,2.38,74,77,119,2,61.629999999999995
193,0,94,0,0,0,13.4,2,3.62,118,88,131,0,47.4
194,0,118,1,23,0,9.5,4,2.57,52,111,88,1,68.74
195,0,117,1,23,0,6.8,6,1.84,86,86,92,1,56.85
196,0,78,0,0,0,9.7,8,2.62,119,115,126,0,52.709999999999994
197,1,208,0,0,0,10.7,6,2.89,67,113,102,2,78.68
198,1,131,1,26,1,13.8,7,3.73,101,97,127,4,78.24999999999999
199,0,63,0,0,0,13.0,3,3.51,64,106,89,0,40.22
200,0,53,1,24,0,13.1,5,3.54,146,136,96,3,54.76
201,0,62,0,0,0,11.2,1,3.02,101,93,131,2,69.92
202,0,97,0,0,0,6.4,8,1.73,86,94,110,3,63.52
203,0,105,0,0,0,6.8,3,1.84,109,51,83,2,48.839999999999996
204,0,157,0,0,0,9.4,4,2.54,105,80,93,1,56.760000000000005
205,0,66,1,36,0,12.1,2,3.27,76,77,117,1,44.54
206,0,122,0,0,0,13.7,8,3.7,98,72,84,2,56.67
207,0,38,0,0,0,10.8,5,2.92,94,95,90,3,58.97
208,0,106,0,0,0,12.2,5,3.29,95,70,124,3,60.97
209,0,99,0,0,0,15.8,7,4.27,112,89,89,3,68.06
210,0,99,0,0,0,11.6,10,3.13,72,98,109,1,62.69
211,0,144,0,0,1,11.9,11,3.21,100,103,94,0,64.39
212,0,82,1,24,0,10.7,3,2.89,131,106,68,1,52.669999999999995
213,0,86,1,31,0,12.2,6,3.29,139,118,121,1,49.209999999999994
214,1,70,0,0,1,17.6,4,4.75,98,115,93,2,61.22
215,0,93,0,0,0,11.5,6,3.11,93,98,131,3,55.79
216,0,93,0,0,0,10.9,3,2.94,89,76,120,0,49.339999999999996
217,0,120,0,0,0,4.7,7,1.27,80,82,91,3,61.599999999999994
218,1,136,0,0,0,13.0,2,3.51,121,118,114,1,72.03
219,0,106,0,0,0,7.1,12,1.92,121,98,107,0,55.76
220,0,81,0,0,0,12.2,6,3.29,116,98,99,3,53.730000000000004
221,0,127,1,22,0,10.2,6,2.75,114,103,68,1,54.06999999999999
222,0,65,0,0,0,4.4,2,1.19,112,96,104,1,56.25
223,0,35,0,0,0,8.9,6,2.4,113,122,104,2,53.81
224,0,88,0,0,0,13.8,1,3.73,97,76,113,2,36.04
225,0,65,0,0,0,2.7,4,0.73,111,94,123,1,67.46000000000001
226,0,123,0,0,0,7.7,2,2.08,85,78,136,3,65.94
227,0,126,1,27,0,9.6,3,2.59,78,83,139,2,51.209999999999994
228,0,104,1,23,0,13.3,3,3.59,136,92,102,4,72.53
229,0,45,1,22,0,11.9,3,3.21,84,92,108,0,67.39
230,1,93,0,0,1,10.5,2,2.84,109,100,74,0,73.82999999999998
232,0,100,0,0,0,13.5,2,3.65,96,126,122,3,61.120000000000005
233,0,53,0,0,0,10.9,2,2.94,97,87,113,0,54.37
234,0,92,0,0,1,9.0,5,2.43,140,105,117,1,60.35
235,1,139,0,0,0,10.2,2,2.75,106,98,125,5,49.52
236,0,110,1,40,0,9.0,9,2.43,103,128,98,2,55.11
237,0,110,0,0,0,9.8,7,2.65,117,98,101,3,38.39
238,0,215,0,0,0,10.7,9,2.89,148,91,110,0,34.69
239,0,73,0,0,0,9.4,6,2.54,86,116,87,1,53.29
240,0,138,0,0,0,12.9,5,3.48,89,125,79,0,53.73
241,1,137,0,0,1,12.3,2,3.32,95,102,81,2,44.41
242,0,36,0,0,0,8.4,2,2.27,77,151,103,1,70.99
243,0,85,0,0,0,7.1,2,1.92,81,63,110,3,62.03
244,1,108,0,0,0,9.4,3,2.54,99,60,75,0,72.48
245,0,22,0,0,0,9.5,5,2.57,107,93,96,0,42.0
246,0,107,1,37,0,11.1,3,3.0,102,80,106,0,30.67
247,0,51,0,0,0,10.2,5,2.75,94,58,66,0,61.99
248,0,94,0,0,0,9.2,2,2.48,85,98,97,4,59.18
249,0,119,1,23,0,11.8,4,3.19,114,137,112,2,60.09
250,1,33,1,29,0,13.9,11,3.75,99,80,79,4,49.34
251,0,106,0,0,0,14.4,7,3.89,91,109,143,4,58.59
252,0,82,0,0,0,9.1,8,2.46,90,83,108,3,62.74999999999999
253,0,86,1,41,0,9.5,3,2.57,101,134,58,0,50.44
255,0,106,1,32,0,14.1,8,3.81,126,93,86,4,54.38999999999999
256,0,108,0,0,0,9.8,3,2.65,122,117,92,1,48.63
257,0,114,0,0,0,14.5,8,3.92,118,86,95,1,44.34
258,1,92,0,0,1,10.4,2,2.81,111,126,80,1,35.97
259,0,59,0,0,0,8.7,4,2.35,79,123,80,1,53.99999999999999
260,0,24,1,25,0,6.7,9,1.81,110,105,55,1,56.22
261,0,151,0,0,0,15.4,1,4.16,88,112,61,1,45.11
262,0,117,0,0,0,11.5,3,3.11,103,108,96,1,50.65
263,0,78,0,0,0,12.5,1,3.38,110,73,136,1,58.26
264,0,155,0,0,0,8.3,6,2.24,55,113,85,2,67.74
265,0,114,1,30,0,11.4,6,3.08,79,91,83,1,70.27
266,0,114,1,28,0,8.4,9,2.27,94,117,100,4,65.25999999999999
267,0,119,0,0,0,13.5,6,3.65,89,78,98,3,49.88
268,0,64,1,48,0,4.5,4,1.22,104,101,89,0,34.260000000000005
269,0,118,0,0,1,9.9,3,2.67,123,96,99,2,50.43
270,0,101,0,0,0,14.6,3,3.94,105,117,100,0,65.49
271,0,117,0,0,0,7.7,3,2.08,121,83,104,1,47.24
272,0,49,1,28,0,8.0,13,2.16,78,100,107,3,65.72
273,0,139,0,0,0,13.0,3,3.51,104,96,101,3,61.84
274,0,92,1,28,0,10.0,3,2.7,90,79,114,1,53.01
275,0,83,0,0,0,9.8,5,2.65,103,103,100,3,62.85
276,0,148,0,0,1,11.1,4,3.0,88,85,99,0,64.04
277,1,144,1,48,0,6.5,2,1.76,96,67,106,2,52.400000000000006
278,0,131,1,25,0,10.9,6,2.94,85,105,59,2,63.39999999999999
279,0,146,0,0,1,10.5,6,2.84,135,90,114,3,63.39
280,0,143,0,0,0,13.0,4,3.51,97,108,119,2,52.55
281,0,81,0,0,0,10.4,6,2.81,93,108,71,2,60.36
282,0,48,1,37,0,12.2,1,3.29,115,84,80,1,56.06
283,0,86,1,28,0,9.0,2,2.43,74,100,105,1,72.99000000000001
284,0,71,0,0,0,6.7,5,1.81,108,109,56,3,61.730000000000004
285,0,145,1,24,0,15.6,3,4.21,90,108,102,2,51.349999999999994
286,0,137,0,0,0,8.8,5,2.38,122,102,84,2,54.720000000000006
287,0,137,0,0,0,14.5,4,3.92,88,86,84,2,65.84
288,0,167,0,0,0,14.1,5,3.81,88,63,98,0,58.019999999999996
289,1,89,0,0,0,5.3,3,1.43,95,114,89,1,87.88
290,0,199,1,34,0,8.0,2,2.16,121,99,94,0,71.32000000000001
291,0,132,0,0,0,9.7,3,2.62,110,80,124,0,33.52
292,0,94,0,0,0,5.9,4,1.59,112,112,108,1,53.199999999999996
293,1,96,1,37,0,10.3,5,2.78,93,116,86,5,49.29
294,0,96,1,18,0,9.8,3,2.65,86,113,70,1,52.38
295,0,166,0,0,0,9.5,5,2.57,115,152,109,1,59.76
296,0,74,0,0,0,10.1,5,2.73,83,67,85,2,42.03
297,0,36,0,0,0,11.9,1,3.21,117,58,99,0,53.28
298,0,113,0,0,0,6.6,9,1.78,129,117,91,4,64.55000000000001
300,0,67,0,0,0,11.9,4,3.21,80,81,111,2,47.36
301,1,127,0,0,0,5.9,2,1.59,106,168,119,1,77.15
302,1,121,0,0,0,11.2,3,3.02,108,68,87,0,72.13
303,0,158,0,0,0,9.1,4,2.46,106,114,89,1,62.57
304,0,136,0,0,0,10.3,10,2.78,117,77,90,1,46.830000000000005
305,0,196,0,0,0,9.1,5,2.46,109,114,70,2,68.78
306,1,113,0,0,0,8.5,10,2.3,111,118,105,1,78.7
307,1,122,0,0,0,11.4,3,3.08,99,89,107,4,74.68
308,0,112,0,0,0,11.4,2,3.08,101,82,107,0,57.48
309,0,209,0,0,0,8.9,4,2.4,128,92,74,3,68.84
310,1,62,0,0,0,13.2,2,3.56,109,118,78,1,72.94
311,0,110,1,38,0,9.7,6,2.62,102,112,82,1,65.08
312,0,16,0,0,0,10.9,3,2.94,69,93,64,0,59.26
313,0,73,0,0,0,9.8,4,2.65,136,122,77,0,49.06
314,0,128,0,0,0,18.9,2,5.1,99,107,111,0,50.19
315,0,39,0,0,0,12.4,3,3.35,158,120,46,1,41.879999999999995
316,0,103,1,28,0,7.7,4,2.08,105,100,76,2,50.769999999999996
317,0,119,1,29,0,7.6,3,2.05,66,114,76,3,48.5
318,0,173,1,21,0,5.0,5,1.35,96,118,102,3,69.81
319,1,128,1,32,1,9.4,2,2.54,81,74,101,2,61.019999999999996
320,0,86,0,0,0,6.2,3,1.67,79,97,78,0,64.93
321,0,114,1,32,0,12.9,3,3.48,79,105,89,1,46.85
322,0,104,0,0,0,10.0,3,2.7,107,113,74,0,55.99
323,0,148,0,0,0,11.3,4,3.05,134,92,91,1,46.95
324,0,129,0,0,0,13.4,5,3.62,91,121,112,3,59.39
325,0,100,1,30,0,7.1,3,1.92,104,107,118,0,35.51
326,0,121,1,35,0,11.4,4,3.08,95,69,42,1,38.34
327,0,143,1,33,0,9.5,4,2.57,109,112,95,1,67.71
328,0,76,0,0,0,12.5,3,3.38,130,86,96,0,60.64
329,0,158,0,0,0,14.4,12,3.89,97,77,108,0,58.92
330,0,116,0,0,0,7.9,2,2.13,98,135,94,3,65.12
331,1,54,0,0,0,9.5,2,2.57,83,74,111,1,76.36
332,1,86,0,0,0,12.2,5,3.29,121,93,152,7,44.790000000000006
333,0,108,0,0,0,9.3,4,2.51,99,87,78,0,60.56
334,0,66,0,0,0,7.5,4,2.03,95,66,101,1,57.7
335,0,151,1,17,0,8.6,4,2.32,97,90,44,1,55.879999999999995
336,0,99,0,0,0,10.6,2,2.86,70,77,104,0,59.5
337,0,55,0,0,0,7.0,7,1.89,121,110,136,2,61.64
338,0,77,0,0,0,7.6,3,2.05,104,94,104,2,71.97
339,0,78,0,0,0,14.6,2,3.94,67,127,102,0,63.1
340,1,89,0,0,0,9.1,1,2.46,63,71,126,1,63.04
341,0,101,0,0,0,10.8,11,2.92,115,101,145,1,65.39
342,0,44,1,34,0,14.0,7,3.78,105,85,62,0,61.7
343,0,98,1,21,0,0.0,0,0.0,98,86,84,2,36.97
344,0,64,1,37,0,13.3,3,3.59,92,103,99,1,40.84
346,0,81,1,33,0,12.2,5,3.29,117,90,101,1,49.69
347,0,162,0,0,0,10.5,11,2.84,117,121,89,1,59.089999999999996
348,0,83,1,41,0,13.1,5,3.54,122,107,105,3,46.04
349,1,100,0,0,0,12.8,3,3.46,63,67,74,4,38.11
350,0,59,0,0,0,11.3,8,3.05,104,95,100,4,58.78
351,0,179,1,38,1,10.1,4,2.73,78,71,85,4,68.02000000000001
352,0,79,0,0,0,5.3,3,1.43,112,132,87,1,45.269999999999996
353,0,117,0,0,0,14.7,9,3.97,95,88,82,2,57.47
354,1,64,0,0,1,13.2,2,3.56,77,85,97,2,67.46
355,0,31,0,0,0,12.7,2,3.43,105,93,98,1,44.599999999999994
356,0,124,0,0,1,11.3,4,3.05,89,80,114,1,66.89999999999999
357,0,122,1,23,0,8.5,2,2.3,85,132,96,2,47.63999999999999
358,0,37,1,39,1,9.2,4,2.48,122,75,90,1,48.53
359,0,90,1,29,0,5.8,4,1.57,109,103,97,1,56.05
360,1,159,0,0,1,8.8,6,2.38,53,127,82,1,78.49
361,0,148,0,0,0,11.3,6,3.05,83,81,99,0,47.81
362,0,39,1,36,0,12.0,5,3.24,121,113,131,1,53.830000000000005
363,0,77,0,0,0,11.3,3,3.05,87,138,136,2,61.800000000000004
364,0,194,0,0,0,10.9,2,2.94,88,118,81,0,54.39
365,1,154,0,0,0,10.1,9,2.73,75,94,100,1,89.47
366,0,112,0,0,0,9.1,3,2.46,96,123,115,4,61.1
367,0,45,0,0,0,18.0,3,4.86,127,108,100,1,46.31
368,0,132,0,0,0,7.6,5,2.05,110,137,114,1,40.52
369,0,128,0,0,0,16.0,2,4.32,99,120,76,0,63.43000000000001
370,0,135,0,0,0,10.3,6,2.78,81,114,82,1,62.64
371,0,56,0,0,0,10.6,6,2.86,110,102,91,2,62.57000000000001
372,1,151,0,0,1,12.4,1,3.35,57,88,95,0,58.89
373,0,32,0,0,0,14.8,2,4.0,98,96,108,2,55.09
374,0,90,0,0,0,9.2,6,2.48,77,99,58,2,60.830000000000005
375,0,87,1,21,0,10.6,5,2.86,113,114,82,0,57.730000000000004
376,0,138,0,0,0,11.2,7,3.02,87,116,111,2,47.5
377,0,79,0,0,0,6.7,18,1.81,123,108,106,1,63.370000000000005
378,1,95,0,0,1,11.5,2,3.11,84,112,89,1,61.42
379,0,127,0,0,0,6.8,4,1.84,100,113,96,2,61.720000000000006
380,0,137,0,0,0,14.7,2,3.97,118,93,50,3,67.24
381,0,97,0,0,0,14.7,4,3.97,107,96,112,1,49.78
382,0,149,0,0,1,5.7,4,1.54,87,81,92,0,53.510000000000005
383,0,117,1,22,1,3.7,5,1.0,82,82,120,1,70.9
384,0,84,0,0,0,7.2,4,1.94,125,90,82,2,56.580000000000005
385,0,137,0,0,0,10.7,7,2.89,113,79,111,4,67.07
386,0,99,0,0,0,8.9,1,2.4,64,99,98,3,62.690000000000005
387,0,54,0,0,0,8.5,5,2.3,102,83,53,1,58.92
388,0,85,0,0,0,10.7,3,2.89,95,139,105,1,46.980000000000004
389,0,150,0,0,0,10.2,6,2.75,99,73,100,3,54.519999999999996
390,0,43,0,0,0,11.1,2,3.0,125,89,102,1,59.00999999999999
391,0,35,0,0,0,8.7,3,2.35,129,129,77,0,49.489999999999995
392,0,98,0,0,0,12.4,5,3.35,92,152,115,5,60.57000000000001
393,0,112,0,0,0,9.4,3,2.54,76,100,91,2,62.709999999999994
394,1,16,0,0,0,10.8,2,2.92,78,108,91,0,63.99000000000001
395,0,98,1,22,0,9.7,5,2.62,89,143,42,0,60.09
396,0,84,0,0,0,7.8,4,2.11,102,93,137,0,49.660000000000004
397,1,94,0,0,0,2.0,2,0.54,103,109,121,1,74.13
398,0,84,0,0,0,8.5,4,2.3,129,112,118,1,50.36
399,1,66,0,0,0,10.6,5,2.86,91,68,118,1,56.620000000000005
400,0,98,1,31,0,12.0,1,3.24,105,98,110,1,49.379999999999995
401,0,74,0,0,0,10.6,3,2.86,124,94,112,0,57.81
402,0,96,1,26,0,9.9,2,2.67,108,89,96,1,48.559999999999995
403,0,119,0,0,0,11.2,6,3.02,122,107,112,1,58.980000000000004
